wkt_geom;InputID;TargetID;Distance
LineString (8.35688349999998081 49.53306400000002441, 8.39684649999998101 49.4820775000000026);DE518C1;DE070C1;6366.629329
LineString (7.20864849999998114 51.53749199999998609, 7.2132230000000277 51.60496449999999413);DE525C1;DE515C1;7513.632691
LineString (7.20864849999998114 51.53749199999998609, 7.22498200000001134 51.46995500000002721);DE515C1;DE015C1;7599.130711
LineString (9.95002299999998741 48.39085649999998395, 10.05274850000000697 48.38061900000002424);DE076C1;DE532C1;7693.295675
LineString (8.39684649999998101 49.4820775000000026, 8.50036649999998417 49.49939000000000533);DE518C1;DE502C1;7743.267702
LineString (6.619954000000007 51.45274349999999686, 6.73478000000000065 51.43959200000000465);DE501C1;DE023C1;8115.952306
LineString (6.8471154999999726 51.5131279999999947, 6.92024450000002389 51.57158900000001722);DE509C1;DE528C1;8248.954357
LineString (7.16895149999999148 51.25060700000000224, 7.2243310000000065 51.1826874999999859);DE530C1;DE546C1;8489.310074
LineString (7.22498200000001134 51.46995500000002721, 7.33101950000002489 51.42741449999999759);DE015C1;DE543C1;8760.16541
LineString (7.10978749999998172 50.70573200000001179, 7.19004949999998644 50.77139599999998154);DE075C1;DE034C1;9244.441157
LineString (7.07130100000000539 51.55398150000002033, 7.20864849999998114 51.53749199999998609);DE503C1;DE515C1;9702.948785
LineString (6.8784610000000157 51.41378150000002734, 7.01719300000002022 51.43384550000001809);DE022C1;DE006C1;9904.500678
LineString (10.96548649999999725 49.49141950000000634, 10.97814549999998235 49.58233100000001059);DE545C1;DE538C1;10152.62087
LineString (8.64419149999997671 50.1179480000000126, 8.78096799999997302 50.09105499999998301);DE005C1;DE531C1;10232.04343
LineString (6.70211899999998195 51.17296199999998407, 6.81018249999999625 51.23549450000001571);DE011C1;DE521C1;10268.2859
LineString (10.96548649999999725 49.49141950000000634, 11.07928099999998039 49.436396000000002);DE538C1;DE014C1;10271.07787
LineString (6.73478000000000065 51.43959200000000465, 6.8784610000000157 51.41378150000002734);DE022C1;DE501C1;10397.6752
LineString (6.92024450000002389 51.57158900000001722, 7.07130100000000539 51.55398150000002033);DE503C1;DE528C1;10656.62711
LineString (9.04793699999999035 48.52770600000002332, 9.18820549999998093 48.49389700000000403);DE050C1;DE537C1;11024.67432
LineString (8.35688349999998081 49.53306400000002441, 8.50036649999998417 49.49939000000000533);DE070C1;DE502C1;11044.3741
LineString (6.8471154999999726 51.5131279999999947, 6.8784610000000157 51.41378150000002734);DE022C1;DE509C1;11265.6262
LineString (7.06628949999998213 51.16230699999999842, 7.2243310000000065 51.1826874999999859);DE516C1;DE530C1;11283.11951
LineString (6.73478000000000065 51.43959200000000465, 6.8471154999999726 51.5131279999999947);DE509C1;DE501C1;11307.01096
LineString (7.07130100000000539 51.55398150000002033, 7.2132230000000277 51.60496449999999413);DE503C1;DE525C1;11356.11333
LineString (8.78096799999997302 50.09105499999998301, 8.93463700000000927 50.12690950000001067);DE047C1;DE531C1;11693.58807
LineString (8.2414969999999812 49.97418649999997342, 8.26036449999998013 50.0791510000000244);DE037C1;DE020C1;11753.17468
LineString (9.17207350000001043 48.77454399999999168, 9.32652450000000499 48.74129199999998718);DE007C1;DE046C1;11942.99752
LineString (8.51391100000000733 50.56606950000002598, 8.6826135000000022 50.57895250000001397);DE057C1;DE079C1;12036.6288
LineString (7.06628949999998213 51.16230699999999842, 7.16895149999999148 51.25060700000000224);DE516C1;DE546C1;12164.59787
LineString (6.5796100000000024 51.34522650000002386, 6.619954000000007 51.45274349999999686);DE508C1;DE023C1;12286.99434
LineString (6.97323749999998199 50.94566700000001447, 7.01540099999999711 51.05310800000000881);DE519C1;DE004C1;12313.64095
LineString (7.01540099999999711 51.05310800000000881, 7.06628949999998213 51.16230699999999842);DE519C1;DE516C1;12660.41709
LineString (7.49763050000001385 51.34817249999997557, 7.66976199999999153 51.38692600000001676);DE045C1;DE511C1;12739.29881
LineString (7.01540099999999711 51.05310800000000881, 7.15434749999997166 50.97915349999999535);DE519C1;DE541C1;12757.66554
LineString (6.97323749999998199 50.94566700000001447, 7.15434749999997166 50.97915349999999535);DE541C1;DE004C1;13257.90503
LineString (7.01719300000002022 51.43384550000001809, 7.07130100000000539 51.55398150000002033);DE503C1;DE006C1;13884.25091
LineString (7.33101950000002489 51.42741449999999759, 7.47491899999999987 51.5161939999999845);DE010C1;DE543C1;14054.70174
LineString (9.00408850000002303 48.71228849999999966, 9.17207350000001043 48.77454399999999168);DE068C1;DE007C1;14162.26827
LineString (7.07130100000000539 51.55398150000002033, 7.22498200000001134 51.46995500000002721);DE015C1;DE503C1;14185.27092
LineString (7.33101950000002489 51.42741449999999759, 7.49763050000001385 51.34817249999997557);DE511C1;DE543C1;14568.32541
LineString (9.17207350000001043 48.77454399999999168, 9.21748150000001942 48.90369349999997439);DE007C1;DE049C1;14744.00734
LineString (6.8471154999999726 51.5131279999999947, 7.01719300000002022 51.43384550000001809);DE006C1;DE509C1;14746.18413
LineString (7.20864849999998114 51.53749199999998609, 7.33101950000002489 51.42741449999999759);DE515C1;DE543C1;14908.07275
LineString (7.01719300000002022 51.43384550000001809, 7.22498200000001134 51.46995500000002721);DE006C1;DE015C1;14992.44162
LineString (7.2132230000000277 51.60496449999999413, 7.22498200000001134 51.46995500000002721);DE525C1;DE015C1;15043.10235
LineString (6.5796100000000024 51.34522650000002386, 6.73478000000000065 51.43959200000000465);DE501C1;DE508C1;15062.27382
LineString (6.8471154999999726 51.5131279999999947, 7.07130100000000539 51.55398150000002033);DE503C1;DE509C1;16206.55523
LineString (6.92024450000002389 51.57158900000001722, 7.01719300000002022 51.43384550000001809);DE528C1;DE006C1;16738.38547
LineString (6.619954000000007 51.45274349999999686, 6.8471154999999726 51.5131279999999947);DE509C1;DE023C1;17150.68186
LineString (8.39684649999998101 49.4820775000000026, 8.43504949999999099 49.32974250000000893);DE080C1;DE518C1;17167.69894
LineString (8.50036649999998417 49.49939000000000533, 8.69418150000001333 49.40551349999998365);DE502C1;DE522C1;17506.96203
LineString (7.01719300000002022 51.43384550000001809, 7.20864849999998114 51.53749199999998609);DE006C1;DE515C1;17602.15529
LineString (6.8784610000000157 51.41378150000002734, 6.92024450000002389 51.57158900000001722);DE022C1;DE528C1;17795.50258
LineString (10.97814549999998235 49.58233100000001059, 11.07928099999998039 49.436396000000002);DE014C1;DE545C1;17806.9698
LineString (7.22498200000001134 51.46995500000002721, 7.47491899999999987 51.5161939999999845);DE010C1;DE015C1;18104.65265
LineString (6.619954000000007 51.45274349999999686, 6.8784610000000157 51.41378150000002734);DE023C1;DE022C1;18492.28925
LineString (7.20864849999998114 51.53749199999998609, 7.47491899999999987 51.5161939999999845);DE010C1;DE515C1;18630.39295
LineString (7.47491899999999987 51.5161939999999845, 7.49763050000001385 51.34817249999997557);DE511C1;DE010C1;18760.09609
LineString (8.43504949999999099 49.32974250000000893, 8.50036649999998417 49.49939000000000533);DE502C1;DE080C1;19453.99425
LineString (6.73478000000000065 51.43959200000000465, 6.92024450000002389 51.57158900000001722);DE528C1;DE501C1;19531.80304
LineString (6.73478000000000065 51.43959200000000465, 7.01719300000002022 51.43384550000001809);DE006C1;DE501C1;19648.4436
LineString (6.81018249999999625 51.23549450000001571, 7.06628949999998213 51.16230699999999842);DE011C1;DE516C1;19665.8776
LineString (9.21748150000001942 48.90369349999997439, 9.32652450000000499 48.74129199999998718);DE049C1;DE046C1;19755.52921
LineString (7.47491899999999987 51.5161939999999845, 7.66976199999999153 51.38692600000001676);DE010C1;DE045C1;19755.739
LineString (10.37074499999999944 52.12447200000002567, 10.52413400000000365 52.27524549999998271);DE506C1;DE536C1;19784.98709
LineString (11.31787400000001753 50.97834749999998394, 11.58702599999998029 50.92425750000001017);DE547C1;DE030C1;19847.74703
LineString (6.5796100000000024 51.34522650000002386, 6.81018249999999625 51.23549450000001571);DE011C1;DE508C1;20192.71675
LineString (6.41196600000000672 51.16721300000000383, 6.70211899999998195 51.17296199999998407);DE036C1;DE521C1;20303.57087
LineString (6.92024450000002389 51.57158900000001722, 7.20864849999998114 51.53749199999998609);DE515C1;DE528C1;20359.54705
LineString (6.81018249999999625 51.23549450000001571, 6.8784610000000157 51.41378150000002734);DE011C1;DE022C1;20398.25279
LineString (7.01540099999999711 51.05310800000000881, 7.2243310000000065 51.1826874999999859);DE519C1;DE530C1;20538.44715
LineString (6.8784610000000157 51.41378150000002734, 7.07130100000000539 51.55398150000002033);DE022C1;DE503C1;20560.87231
LineString (8.43504949999999099 49.32974250000000893, 8.69418150000001333 49.40551349999998365);DE080C1;DE522C1;20621.63647
LineString (6.92024450000002389 51.57158900000001722, 7.2132230000000277 51.60496449999999413);DE525C1;DE528C1;20641.98337
LineString (7.2132230000000277 51.60496449999999413, 7.47491899999999987 51.5161939999999845);DE010C1;DE525C1;20661.60973
LineString (9.00408850000002303 48.71228849999999966, 9.04793699999999035 48.52770600000002332);DE068C1;DE050C1;20779.03175
LineString (8.64419149999997671 50.1179480000000126, 8.93463700000000927 50.12690950000001067);DE047C1;DE005C1;20794.67185
LineString (11.02032250000002023 50.98310049999997773, 11.31787400000001753 50.97834749999998394);DE030C1;DE032C1;20902.7525
LineString (6.5796100000000024 51.34522650000002386, 6.70211899999998195 51.17296199999998407);DE508C1;DE521C1;20986.43813
LineString (7.06628949999998213 51.16230699999999842, 7.15434749999997166 50.97915349999999535);DE516C1;DE541C1;21290.03884
LineString (7.2132230000000277 51.60496449999999413, 7.33101950000002489 51.42741449999999759);DE525C1;DE543C1;21379.38519
LineString (7.01719300000002022 51.43384550000001809, 7.33101950000002489 51.42741449999999759);DE006C1;DE543C1;21837.04975
LineString (6.5796100000000024 51.34522650000002386, 6.8784610000000157 51.41378150000002734);DE508C1;DE022C1;22160.89492
LineString (7.16895149999999148 51.25060700000000224, 7.33101950000002489 51.42741449999999759);DE543C1;DE546C1;22682.20281
LineString (7.07130100000000539 51.55398150000002033, 7.33101950000002489 51.42741449999999759);DE503C1;DE543C1;22884.10075
LineString (7.01719300000002022 51.43384550000001809, 7.16895149999999148 51.25060700000000224);DE546C1;DE006C1;22965.53924
LineString (6.41196600000000672 51.16721300000000383, 6.5796100000000024 51.34522650000002386);DE036C1;DE508C1;23004.06754
LineString (7.15434749999997166 50.97915349999999535, 7.2243310000000065 51.1826874999999859);DE541C1;DE530C1;23168.10981
LineString (8.39684649999998101 49.4820775000000026, 8.69418150000001333 49.40551349999998365);DE518C1;DE522C1;23183.06669
LineString (7.15434749999997166 50.97915349999999535, 7.19004949999998644 50.77139599999998154);DE075C1;DE541C1;23248.37554
LineString (10.52413400000000365 52.27524549999998271, 10.78489350000000968 52.41075599999999213);DE526C1;DE506C1;23306.34278
LineString (6.73478000000000065 51.43959200000000465, 6.81018249999999625 51.23549450000001571);DE011C1;DE501C1;23306.86198
LineString (7.22498200000001134 51.46995500000002721, 7.49763050000001385 51.34817249999997557);DE015C1;DE511C1;23312.13391
LineString (8.35688349999998081 49.53306400000002441, 8.43504949999999099 49.32974250000000893);DE080C1;DE070C1;23313.03544
LineString (7.01719300000002022 51.43384550000001809, 7.2132230000000277 51.60496449999999413);DE006C1;DE525C1;23400.85935
LineString (8.93463700000000927 50.12690950000001067, 9.14581399999997302 49.96385600000002114);DE047C1;DE061C1;23616.35447
LineString (9.00408850000002303 48.71228849999999966, 9.32652450000000499 48.74129199999998718);DE046C1;DE068C1;23940.23339
LineString (6.92024450000002389 51.57158900000001722, 7.22498200000001134 51.46995500000002721);DE015C1;DE528C1;23984.31224
LineString (7.33101950000002489 51.42741449999999759, 7.66976199999999153 51.38692600000001676);DE045C1;DE543C1;23996.77097
LineString (9.15033149999999296 47.7067220000000134, 9.47458000000000311 47.68808749999999463);DE054C1;DE072C1;24426.32787
LineString (7.01540099999999711 51.05310800000000881, 7.16895149999999148 51.25060700000000224);DE519C1;DE546C1;24458.01141
LineString (6.97323749999998199 50.94566700000001447, 7.19004949999998644 50.77139599999998154);DE075C1;DE004C1;24675.86996
LineString (6.619954000000007 51.45274349999999686, 6.92024450000002389 51.57158900000001722);DE528C1;DE023C1;24686.46526
LineString (7.16895149999999148 51.25060700000000224, 7.22498200000001134 51.46995500000002721);DE015C1;DE546C1;24713.6875
LineString (8.6647530000000188 49.88157250000000431, 8.78096799999997302 50.09105499999998301);DE025C1;DE531C1;24746.23109
