wkt_geom;InputID;TargetID;Distance;IstInLoesung
LineString (8.35688349999998081 49.53306400000002441, 8.39684649999998101 49.4820775000000026);DE518C1;DE070C1;6366.629329;1
LineString (7.20864849999998114 51.53749199999998609, 7.2132230000000277 51.60496449999999413);DE525C1;DE515C1;7513.632691;1
LineString (7.20864849999998114 51.53749199999998609, 7.22498200000001134 51.46995500000002721);DE515C1;DE015C1;7599.130711;1
LineString (9.95002299999998741 48.39085649999998395, 10.05274850000000697 48.38061900000002424);DE076C1;DE532C1;7693.295675;1
LineString (8.39684649999998101 49.4820775000000026, 8.50036649999998417 49.49939000000000533);DE518C1;DE502C1;7743.267702;1
LineString (6.619954000000007 51.45274349999999686, 6.73478000000000065 51.43959200000000465);DE501C1;DE023C1;8115.952306;1
LineString (6.8471154999999726 51.5131279999999947, 6.92024450000002389 51.57158900000001722);DE509C1;DE528C1;8248.954357;1
LineString (7.16895149999999148 51.25060700000000224, 7.2243310000000065 51.1826874999999859);DE530C1;DE546C1;8489.310074;1
LineString (7.22498200000001134 51.46995500000002721, 7.33101950000002489 51.42741449999999759);DE015C1;DE543C1;8760.16541;1
LineString (7.10978749999998172 50.70573200000001179, 7.19004949999998644 50.77139599999998154);DE075C1;DE034C1;9244.441157;1
LineString (7.07130100000000539 51.55398150000002033, 7.20864849999998114 51.53749199999998609);DE503C1;DE515C1;9702.948785;1
LineString (6.8784610000000157 51.41378150000002734, 7.01719300000002022 51.43384550000001809);DE022C1;DE006C1;9904.500678;1
LineString (10.96548649999999725 49.49141950000000634, 10.97814549999998235 49.58233100000001059);DE545C1;DE538C1;10152.62087;1
LineString (8.64419149999997671 50.1179480000000126, 8.78096799999997302 50.09105499999998301);DE005C1;DE531C1;10232.04343;1
LineString (6.70211899999998195 51.17296199999998407, 6.81018249999999625 51.23549450000001571);DE011C1;DE521C1;10268.2859;1
LineString (10.96548649999999725 49.49141950000000634, 11.07928099999998039 49.436396000000002);DE538C1;DE014C1;10271.07787;1
LineString (6.73478000000000065 51.43959200000000465, 6.8784610000000157 51.41378150000002734);DE022C1;DE501C1;10397.6752;1
LineString (6.92024450000002389 51.57158900000001722, 7.07130100000000539 51.55398150000002033);DE503C1;DE528C1;10656.62711;1
LineString (9.04793699999999035 48.52770600000002332, 9.18820549999998093 48.49389700000000403);DE050C1;DE537C1;11024.67432;1
LineString (8.35688349999998081 49.53306400000002441, 8.50036649999998417 49.49939000000000533);DE070C1;DE502C1;11044.3741;0
LineString (6.8471154999999726 51.5131279999999947, 6.8784610000000157 51.41378150000002734);DE022C1;DE509C1;11265.6262;1
LineString (7.06628949999998213 51.16230699999999842, 7.2243310000000065 51.1826874999999859);DE516C1;DE530C1;11283.11951;1
LineString (6.73478000000000065 51.43959200000000465, 6.8471154999999726 51.5131279999999947);DE509C1;DE501C1;11307.01096;0
LineString (7.07130100000000539 51.55398150000002033, 7.2132230000000277 51.60496449999999413);DE503C1;DE525C1;11356.11333;0
