wkt_geom;InputID;TargetID;Distance;MST
LineString (3462159.84320575930178165 5426688.41854207124561071, 3462178.43183876946568489 5426407.10723903961479664);47;8;281.9517071;1
LineString (3462159.84320575930178165 5426688.41854207124561071, 3462384.64057742105796933 5426872.13059444166719913);23;47;290.3462609;1
LineString (3456362.14373768400400877 5421591.03055325616151094, 3456586.13837308529764414 5421315.44365351181477308);24;44;355.1693406;1
LineString (3451933.77845957269892097 5431382.375694889575243, 3452022.87577706621959805 5430948.10442888643592596);45;43;443.3546117;1
LineString (3462178.43183876946568489 5426407.10723903961479664, 3462384.64057742105796933 5426872.13059444166719913);23;8;508.7424995;0
LineString (3467158.64961910201236606 5423881.07062907610088587, 3467552.71176850516349077 5424257.1826713215559721);21;36;544.8001682;1
LineString (3451798.97748474264517426 5430317.69400124438107014, 3452022.87577706621959805 5430948.10442888643592596);4;43;669.0473341;1
LineString (3464611.47653896687552333 5433151.62009744439274073, 3464719.30048469034954906 5432442.04108787141740322);49;14;717.7947217;1
LineString (3449741.57612347323447466 5428499.80919848289340734, 3450492.70694015640765429 5428681.37302775215357542);25;18;772.8332237;1
LineString (3471345.1894326894544065 5424502.88789097126573324, 3472171.90485716983675957 5424803.07942000404000282);2;33;879.627707;1
LineString (3454694.72752937115728855 5433902.57885454595088959, 3454905.93222851492464542 5432975.09213650040328503);16;46;951.314375;1
LineString (3451084.57525472668930888 5429673.20979042630642653, 3451798.97748474264517426 5430317.69400124438107014);7;4;962.234294;1
LineString (3450492.70694015640765429 5428681.37302775215357542, 3451406.10398236708715558 5428258.24060113355517387);18;28;1006.736817;1
LineString (3469242.10503632668405771 5437211.66114674508571625, 3470109.42191518936306238 5436662.94686345662921667);39;35;1026.427532;1
LineString (3451798.97748474264517426 5430317.69400124438107014, 3451933.77845957269892097 5431382.375694889575243);45;4;1073.272337;0
LineString (3468723.84347889805212617 5428870.43565299920737743, 3468935.69408008782193065 5427807.71101057343184948);9;11;1083.744707;1
LineString (3450492.70694015640765429 5428681.37302775215357542, 3451084.57525472668930888 5429673.20979042630642653);7;18;1155.10882;1
