wkt_geom;InputID;TargetID;Distance;MST
LineString (6.77311776729239146 51.23433285753594646,7.48268248577064377 51.51619135116313686);Dortmund;Düsseldorf;58517.86138;1
LineString (8.5309030926135172 52.03008636485920846,9.72426193732693989 52.36123164278924946);Hannover;Bielefeld;89531.81943;1
LineString (7.48268248577064377 51.51619135116313686,8.5309030926135172 52.03008636485920846);Dortmund;Bielefeld;92216.79373;1
LineString (8.80505309748011378 53.06946534523741832,10.01453841306804371 53.5560114526945128);Hamburg;Bremen;97109.33572;1
LineString (12.38512963162038716 51.34023317736082248,13.73975318507886989 51.052220951201015);Leipzig;Dresden;99962.38267;1
LineString (8.80505309748011378 53.06946534523741832,9.72426193732693989 52.36123164278924946);Bremen;Hannover;100348.3425;1
LineString (11.03856931359915805 50.98628168060842825,12.38512963162038716 51.34023317736082248);Erfurt;Leipzig;102090.9705;1
LineString (8.5309030926135172 52.03008636485920846,9.48236487420935248 51.26461501244319408);Bielefeld;Kassel;107657.1472;1
LineString (9.48236487420935248 51.26461501244319408,11.03856931359915805 50.98628168060842825);Erfurt;Kassel;113259.4917;1
LineString (8.5309030926135172 52.03008636485920846,8.80505309748011378 53.06946534523741832);Bremen;Bielefeld;117145.0222;0
LineString (9.48236487420935248 51.26461501244319408,9.72426193732693989 52.36123164278924946);Hannover;Kassel;123148.6615;0
LineString (9.72426193732693989 52.36123164278924946,10.01453841306804371 53.5560114526945128);Hannover;Hamburg;134384.6501;0
LineString (8.67604133048406823 50.11534901549023147,9.48236487420935248 51.26461501244319408);Frankfurt;Kassel;139967.0337;1
LineString (7.48268248577064377 51.51619135116313686,9.48236487420935248 51.26461501244319408);Dortmund;Kassel;141973.1401;0
LineString (12.38512963162038716 51.34023317736082248,13.41722376758875335 52.51852092247163029);Berlin;Leipzig;149087.427;1
LineString (6.77311776729239146 51.23433285753594646,8.5309030926135172 52.03008636485920846);Düsseldorf;Bielefeld;150496.9751;0
LineString (11.06275901991091715 49.46990855344201776,11.5707428524578475 48.15314625478950461);Nuernberg;München;151109.4353;1
LineString (8.67604133048406823 50.11534901549023147,9.14370898584473579 48.77867032309986683);Frankfurt;Stuttgart;152481.3668;1
LineString (9.14370898584473579 48.77867032309986683,11.06275901991091715 49.46990855344201776);Stuttgart;Nuernberg;159772.2023;1
LineString (13.41722376758875335 52.51852092247163029,13.73975318507886989 51.052220951201015);Berlin;Dresden;164655.9554;0
LineString (11.03856931359915805 50.98628168060842825,11.06275901991091715 49.46990855344201776);Erfurt;Nuernberg;168680.2369;0
LineString (7.48268248577064377 51.51619135116313686,8.67604133048406823 50.11534901549023147);Dortmund;Frankfurt;177076.4375;0
LineString (9.72426193732693989 52.36123164278924946,11.03856931359915805 50.98628168060842825);Erfurt;Hannover;177949.7202;0
